question_id,construction_name,construction_formula,level,category,function,n_selecting,n_annotators,endorsement_rate
27,ModalCanNegative,SUBJ cannot/can't V,A1,MODALITY,Referring to past events with present relevance,1,4,0.25
27,ModalCanNegative,SUBJ cannot/can't V,A1,MODALITY,Other: Prohibition,1,4,0.25
28,ModalCanQuestion,(WH) can SUBJ V,A1,MODALITY,Asking for information,4,4,1.0
28,ModalCanQuestion,(WH) can SUBJ V,A1,MODALITY,Other: Asking for permission,1,4,0.25
28,ModalCanQuestion,(WH) can SUBJ V,A1,MODALITY,"Other: Asking permission, making suggestions, asking for help, making requests",1,4,0.25
29,ModalVerb,V.MODAL,A1,VERBS,Making offers and invitations,4,4,1.0
29,ModalVerb,V.MODAL,A1,VERBS,Making suggestions,3,4,0.75
29,ModalVerb,V.MODAL,A1,VERBS,Giving directions or instructions,2,4,0.5
29,ModalVerb,V.MODAL,A1,VERBS,Other: giving advice,1,4,0.25
29,ModalVerb,V.MODAL,A1,VERBS,providing alternatives,1,4,0.25
29,ModalVerb,V.MODAL,A1,VERBS,indicating future actions,1,4,0.25
29,ModalVerb,V.MODAL,A1,VERBS,expressing wishes,1,4,0.25
29,ModalVerb,V.MODAL,A1,VERBS,"Referring to actions, events or states",1,4,0.25
30,ModalWillAffirmative,SUBJ will V,A1,MODALITY,Referring to future actions and events,4,4,1.0
30,ModalWillAffirmative,SUBJ will V,A1,MODALITY,Situating events in time,2,4,0.5
30,ModalWillAffirmative,SUBJ will V,A1,MODALITY,Sequencing events,1,4,0.25
30,ModalWillAffirmative,SUBJ will V,A1,MODALITY,Situating events or entities,1,4,0.25
30,ModalWillAffirmative,SUBJ will V,A1,MODALITY,"Other: Predictions, promises.",1,4,0.25
31,WouldLikeAffirmative,SUBJ would like to V.INF,A1,MODALITY,Expressing preference,3,4,0.75
31,WouldLikeAffirmative,SUBJ would like to V.INF,A1,MODALITY,Other: expressing wishes (polite),1,4,0.25
31,WouldLikeAffirmative,SUBJ would like to V.INF,A1,MODALITY,Other: Expressing intent,1,4,0.25
31,WouldLikeAffirmative,SUBJ would like to V.INF,A1,MODALITY,"Other: Making requests, polite requests, expressing intentions",1,4,0.25
31,WouldLikeAffirmative,SUBJ would like to V.INF,A1,MODALITY,Expressing politeness,1,4,0.25
32,MyBestFriend,my best friend,A1,ADJECTIVES,Referring to entities,3,4,0.75
32,MyBestFriend,my best friend,A1,ADJECTIVES,Describing,2,4,0.5
32,MyBestFriend,my best friend,A1,ADJECTIVES,Other: Literally referring to my best friend:),1,4,0.25
33,NegationBeMainVerb,SUBJ BE not COMP,A1,NEGATION,Expressing negation,4,4,1.0
33,NegationBeMainVerb,SUBJ BE not COMP,A1,NEGATION,Describing,4,4,1.0
33,NegationBeMainVerb,SUBJ BE not COMP,A1,NEGATION,Making statements,2,4,0.5
33,NegationBeMainVerb,SUBJ BE not COMP,A1,NEGATION,"Referring to actions, events or states",1,4,0.25
33,NegationBeMainVerb,SUBJ BE not COMP,A1,NEGATION,Emphasizing the affected entity,1,4,0.25
33,NegationBeMainVerb,SUBJ BE not COMP,A1,NEGATION,Conveying meaning & exchanging information,1,4,0.25
34,NegationDoAuxPresent,SUBJ DO not V,A1,NEGATION,Expressing negation,4,4,1.0
34,NegationDoAuxPresent,SUBJ DO not V,A1,NEGATION,"Referring to actions, events or states",2,4,0.5
34,NegationDoAuxPresent,SUBJ DO not V,A1,NEGATION,"Referring to actions, states or relations",1,4,0.25
35,NegationModalCan,SUBJ can't V,A1,NEGATION,Expressing negation,4,4,1.0
35,NegationModalCan,SUBJ can't V,A1,NEGATION,Expressing ability,3,4,0.75
35,NegationModalCan,SUBJ can't V,A1,NEGATION,Expressing possibility,2,4,0.5
35,NegationModalCan,SUBJ can't V,A1,NEGATION,Making statements,2,4,0.5
35,NegationModalCan,SUBJ can't V,A1,NEGATION,Other: expressing missing ability/possibility/permission,1,4,0.25
35,NegationModalCan,SUBJ can't V,A1,NEGATION,Other: Prohibition,1,4,0.25
36,NegativeDeclarativeClauseWithLexicalVerb,SUBJ AUX not V,A1,CLAUSES,Expressing negation,4,4,1.0
36,NegativeDeclarativeClauseWithLexicalVerb,SUBJ AUX not V,A1,CLAUSES,Making statements,3,4,0.75
37,NegativeDeclarativeClauseWithBe,SUBJ BE not ADJ,A1,CLAUSES,Expressing negation,4,4,1.0
37,NegativeDeclarativeClauseWithBe,SUBJ BE not ADJ,A1,CLAUSES,Describing,4,4,1.0
37,NegativeDeclarativeClauseWithBe,SUBJ BE not ADJ,A1,CLAUSES,Making statements,3,4,0.75
38,NounPhraseAsAdjunctInTimeExpression,NP.TIME (ADJUNCT),A1,NOUNS,Situating events in time,4,4,1.0
38,NounPhraseAsAdjunctInTimeExpression,NP.TIME (ADJUNCT),A1,NOUNS,Making statements,1,4,0.25
38,NounPhraseAsAdjunctInTimeExpression,NP.TIME (ADJUNCT),A1,NOUNS,Conveying meaning,1,4,0.25
39,AdjectivePlusPluralNoun,ADJ N.PL,A1,NOUN PHRASES,Describing,4,4,1.0
39,AdjectivePlusPluralNoun,ADJ N.PL,A1,NOUN PHRASES,Referring to entities,2,4,0.5
40,NounPhraseAsBeComplement,SUBJ BE NP,A1,NOUNS,Referring to entities,4,4,1.0
40,NounPhraseAsBeComplement,SUBJ BE NP,A1,NOUNS,Other: describing,1,4,0.25
40,NounPhraseAsBeComplement,SUBJ BE NP,A1,NOUNS,Expressing beliefs and opinions,1,4,0.25
40,NounPhraseAsBeComplement,SUBJ BE NP,A1,NOUNS,"Other: Describing, introducing, explaining what something means",1,4,0.25
40,NounPhraseAsBeComplement,SUBJ BE NP,A1,NOUNS,Expressing certainty,1,4,0.25
41,NounPhraseAsObject,SUBJ V NP.OBJ,A1,NOUNS,Referring to the affected entity,3,4,0.75
41,NounPhraseAsObject,SUBJ V NP.OBJ,A1,NOUNS,Other: Making statements,1,4,0.25
41,NounPhraseAsObject,SUBJ V NP.OBJ,A1,NOUNS,Referring to entities,1,4,0.25
41,NounPhraseAsObject,SUBJ V NP.OBJ,A1,NOUNS,Framing or linking information,1,4,0.25
42,NounPhraseAsPrepositionalComplement,PREP NP,A1,NOUNS,Referring to entities,2,2,1.0
42,NounPhraseAsPrepositionalComplement,PREP NP,A1,NOUNS,Situating events or entities,2,2,1.0
42,NounPhraseAsPrepositionalComplement,PREP NP,A1,NOUNS,Situating entities in space,2,2,1.0
43,NounPhraseAsSubject,NP.SUBJ V,A1,NOUNS,Referring to the acting or experiencing entity,2,2,1.0
43,NounPhraseAsSubject,NP.SUBJ V,A1,NOUNS,Making statements,2,2,1.0
43,NounPhraseAsSubject,NP.SUBJ V,A1,NOUNS,Describing,2,2,1.0
43,NounPhraseAsSubject,NP.SUBJ V,A1,NOUNS,Emphasizing the affected entity,1,2,0.5
44,DeterminerPlusAdjectivePlusNoun,DET ADJ N,A1,NOUN PHRASES,Referring to entities,2,2,1.0
44,DeterminerPlusAdjectivePlusNoun,DET ADJ N,A1,NOUN PHRASES,Describing,2,2,1.0
44,DeterminerPlusAdjectivePlusNoun,DET ADJ N,A1,NOUN PHRASES,Expressing degree,2,2,1.0
44,DeterminerPlusAdjectivePlusNoun,DET ADJ N,A1,NOUN PHRASES,Expressing evaluation,1,2,0.5
44,DeterminerPlusAdjectivePlusNoun,DET ADJ N,A1,NOUN PHRASES,Expressing condition,1,2,0.5
45,NounNoun,N N,A1,NOUN PHRASES,Referring to entities,2,2,1.0
45,NounNoun,N N,A1,NOUN PHRASES,Describing,1,2,0.5
46,PlaceAdverbAsComplement,SUBJ VERB ADV.PLACE,A1,ADVERBS,Situating entities in space,2,2,1.0
46,PlaceAdverbAsComplement,SUBJ VERB ADV.PLACE,A1,ADVERBS,Expressing beliefs and opinions,1,2,0.5
46,PlaceAdverbAsComplement,SUBJ VERB ADV.PLACE,A1,ADVERBS,Expressing certainty,1,2,0.5
46,PlaceAdverbAsComplement,SUBJ VERB ADV.PLACE,A1,ADVERBS,Expressing condition,1,2,0.5
46,PlaceAdverbAsComplement,SUBJ VERB ADV.PLACE,A1,ADVERBS,Expressing cause,1,2,0.5
47,EndPlaceAdverb,CLAUSE ADV.PLACE,A1,ADVERBS,Situating entities in space,2,2,1.0
47,EndPlaceAdverb,CLAUSE ADV.PLACE,A1,ADVERBS,Expressing certainty,1,2,0.5
47,EndPlaceAdverb,CLAUSE ADV.PLACE,A1,ADVERBS,Expressing condition,1,2,0.5
48,PluralSForm,N.PL-s,A1,NOUNS,Expressing quantity,2,2,1.0
48,PluralSForm,N.PL-s,A1,NOUNS,Referring to entities,1,2,0.5
48,PluralSForm,N.PL-s,A1,NOUNS,Reporting information,1,2,0.5
49,PossessiveDeterminerWithNoun,DET.POSS N,A1,DETERMINERS,Expressing possession,2,2,1.0
49,PossessiveDeterminerWithNoun,DET.POSS N,A1,DETERMINERS,Specifying information,2,2,1.0
49,PossessiveDeterminerWithNoun,DET.POSS N,A1,DETERMINERS,Referring to entities,1,2,0.5
50,PredicativeAdjectiveWithBe,SUBJ BE ADJ,A1,ADJECTIVES,Describing,2,2,1.0
50,PredicativeAdjectiveWithBe,SUBJ BE ADJ,A1,ADJECTIVES,Referring to self,1,2,0.5
51,PrepositionWithNoArticle,PREP N,A1,DETERMINERS,Referring to entities,2,2,1.0
51,PrepositionWithNoArticle,PREP N,A1,DETERMINERS,Situating entities in space,2,2,1.0
52,PrepositionPlusThePlusNoun,PREP the N,A1,DETERMINERS,Situating events or entities,2,2,1.0
52,PrepositionPlusThePlusNoun,PREP the N,A1,DETERMINERS,Situating entities in space,2,2,1.0
53,PrepositionPlusNounPhrase,PREP,A1,PREPOSITIONS,Situating events or entities,2,2,1.0
53,PrepositionPlusNounPhrase,PREP,A1,PREPOSITIONS,Expressing certainty,1,2,0.5
53,PrepositionPlusNounPhrase,PREP,A1,PREPOSITIONS,Expressing condition,1,2,0.5
53,PrepositionPlusNounPhrase,PREP,A1,PREPOSITIONS,Expressing degree,1,2,0.5
54,PrepositionalVerbPattern,V PREP NP,A1,VERBS,Referring to future actions and events,2,2,1.0
54,PrepositionalVerbPattern,V PREP NP,A1,VERBS,Referring to impersonal events,2,2,1.0
54,PrepositionalVerbPattern,V PREP NP,A1,VERBS,Referring to past actions and events,2,2,1.0
54,PrepositionalVerbPattern,V PREP NP,A1,VERBS,"Referring to actions, events or states",1,2,0.5
54,PrepositionalVerbPattern,V PREP NP,A1,VERBS,"Referring to actions, states or relations",1,2,0.5
54,PrepositionalVerbPattern,V PREP NP,A1,VERBS,Referring to entities,1,2,0.5
55,PresentContinuousAffirmative,SUBJ BE V-ing,A1,PRESENT,"Referring to present states, events and facts",2,2,1.0
55,PresentContinuousAffirmative,SUBJ BE V-ing,A1,PRESENT,Expressing progression,2,2,1.0
55,PresentContinuousAffirmative,SUBJ BE V-ing,A1,PRESENT,Expressing beliefs and opinions,1,2,0.5
56,PresentSimpleAffirmative,SUBJ V,A1,PRESENT,"Referring to present states, events and facts",2,2,1.0
56,PresentSimpleAffirmative,SUBJ V,A1,PRESENT,Other: you could probably use it for all of the above,1,2,0.5
56,PresentSimpleAffirmative,SUBJ V,A1,PRESENT,Expressing evaluation,1,2,0.5
56,PresentSimpleAffirmative,SUBJ V,A1,PRESENT,Expressing hypotheses or inferences,1,2,0.5
57,PresentSimpleNegative,SUBJ DO not V,A1,PRESENT,"Referring to present states, events and facts",2,2,1.0
57,PresentSimpleNegative,SUBJ DO not V,A1,PRESENT,Expressing negation,2,2,1.0
57,PresentSimpleNegative,SUBJ DO not V,A1,PRESENT,Referring to the acting or experiencing entity,1,2,0.5
57,PresentSimpleNegative,SUBJ DO not V,A1,PRESENT,Referring to third-person subjects,1,2,0.5
58,PresentSimpleWithReally,SUBJ really V,A1,PRESENT,"Referring to present states, events and facts",2,2,1.0
58,PresentSimpleWithReally,SUBJ really V,A1,PRESENT,Expressing degree,2,2,1.0
59,PronounInversionQuestions,(WH) AUX SUBJ V,A1,PRONOUNS,Requesting,2,2,1.0
59,PronounInversionQuestions,(WH) AUX SUBJ V,A1,PRONOUNS,Referring to the acting or experiencing entity,1,2,0.5
59,PronounInversionQuestions,(WH) AUX SUBJ V,A1,PRONOUNS,Referring to entities,1,2,0.5
59,PronounInversionQuestions,(WH) AUX SUBJ V,A1,PRONOUNS,Referring to third-person subjects,1,2,0.5
60,PronounObjectIt,V it,A1,PRONOUNS,Referring to entities,2,2,1.0
60,PronounObjectIt,V it,A1,PRONOUNS,Referring to third-person subjects,1,2,0.5
60,PronounObjectIt,V it,A1,PRONOUNS,Referring back to entities,1,2,0.5
60,PronounObjectIt,V it,A1,PRONOUNS,Expressing quantity,1,2,0.5
61,PronounObjectPersonal,(SUBJ) V PRON,A1,PRONOUNS,Referring to entities,2,2,1.0
61,PronounObjectPersonal,(SUBJ) V PRON,A1,PRONOUNS,Referring to the affected entity,2,2,1.0
62,PronounObjectWithPreposition,PREP PRON,A1,PRONOUNS,Referring to entities,2,2,1.0
62,PronounObjectWithPreposition,PREP PRON,A1,PRONOUNS,Comparing within a set,2,2,1.0
62,PronounObjectWithPreposition,PREP PRON,A1,PRONOUNS,Conveying meaning,2,2,1.0
62,PronounObjectWithPreposition,PREP PRON,A1,PRONOUNS,Making statements,2,2,1.0
62,PronounObjectWithPreposition,PREP PRON,A1,PRONOUNS,Describing,1,2,0.5
63,PronounSubjectBeQuestions,(WH) BE SUBJ (COMP),A1,PRONOUNS,"Referring to the acting or experiencing entity, Asking for information",2,2,1.0
